id,username,total_pr_cnt,repository_name,is_closed
MDExOlB1bGxSZXF1ZXN0Nzk2OTQ=,martinrehfeld,41,jquery.tagcloud.js,True
MDExOlB1bGxSZXF1ZXN0MjM2OTY=,martinrehfeld,41,couch_potato,True
MDExOlB1bGxSZXF1ZXN0MTAzNjE4NTU0,cch1,12,liberator,True
MDExOlB1bGxSZXF1ZXN0MTAzNjE3MjM2,cch1,12,liberator,True
MDExOlB1bGxSZXF1ZXN0NzYyMTI5MjE=,cch1,12,wombats-api,True
MDExOlB1bGxSZXF1ZXN0NzYyMTA0OTc=,cch1,12,wombats-api,True
MDExOlB1bGxSZXF1ZXN0NzUyMTI1NDI=,cch1,12,wombats-api,True
MDExOlB1bGxSZXF1ZXN0Mzc1OTcxMTQ=,cch1,12,http.async.client,True
MDExOlB1bGxSZXF1ZXN0Mzc0MTQ1ODI=,cch1,12,http.async.client,True
MDExOlB1bGxSZXF1ZXN0MzcxNjM3MTk=,cch1,12,http.async.client,True
MDExOlB1bGxSZXF1ZXN0MzU4Mzc0ODQ=,cch1,12,http.async.client,True
MDExOlB1bGxSZXF1ZXN0Mjk1NzIyOTA=,cch1,12,lein-v,True
MDExOlB1bGxSZXF1ZXN0MTM3MTA2NDA=,cch1,12,Midje,True
MDExOlB1bGxSZXF1ZXN0MTAxNDM4NDg=,cch1,12,tools.logging,True
MDExOlB1bGxSZXF1ZXN0MjkzMDMyNjAx,bluephlame,6,homebridge-gpio-garagedoor,False
MDExOlB1bGxSZXF1ZXN0MTI5NTMxNjYx,bluephlame,6,homebridge-mqtt-switch-tasmota,True
MDExOlB1bGxSZXF1ZXN0NDEwOTA4Njg=,bluephlame,6,Force.com-Toolkit-for-NET,True
MDExOlB1bGxSZXF1ZXN0MTYyNzAzNDM=,bluephlame,6,Wosh,True
MDExOlB1bGxSZXF1ZXN0MTQ1Mjc3OQ==,bluephlame,6,Albacore,True
MDExOlB1bGxSZXF1ZXN0MTIxMDkzOQ==,bluephlame,6,Albacore,True
MDExOlB1bGxSZXF1ZXN0MzY1OTEzMA==,surlykke,4,qterminal,True
MDExOlB1bGxSZXF1ZXN0MzY1OTEwNA==,surlykke,4,qtermwidget,True
MDExOlB1bGxSZXF1ZXN0NjkwMTkx,surlykke,4,razor-qt,True
MDExOlB1bGxSZXF1ZXN0Njc4NDIx,surlykke,4,razor-qt,True
MDExOlB1bGxSZXF1ZXN0MTI3ODE1MTQ0,al3x,27,Rocket.Chat,True
MDExOlB1bGxSZXF1ZXN0MTI3ODEzNDc2,al3x,27,Rocket.Chat,True
MDExOlB1bGxSZXF1ZXN0MTE3NzkxNzg1,al3x,27,awesomebits,True
MDExOlB1bGxSZXF1ZXN0OTgyMDY3MTE=,al3x,27,neveragaindottech.github.io,True
MDExOlB1bGxSZXF1ZXN0NzA0NTM5NDI=,al3x,27,awesomebits,True
MDExOlB1bGxSZXF1ZXN0NzA0NDkyNTQ=,al3x,27,awesomebits,True
MDExOlB1bGxSZXF1ZXN0NTc4ODgwODU=,al3x,27,knex,True
MDExOlB1bGxSZXF1ZXN0NTQ3NzE1NTU=,al3x,27,ground-control,True
MDExOlB1bGxSZXF1ZXN0NTQxNjM5MTA=,al3x,27,ground-control,True
MDExOlB1bGxSZXF1ZXN0NTQwNTI2ODA=,al3x,27,ground-control,True
MDExOlB1bGxSZXF1ZXN0NTM3ODc4OTg=,al3x,27,ground-control,True
MDExOlB1bGxSZXF1ZXN0NTM1MTM5NzQ=,al3x,27,ground-control,True
MDExOlB1bGxSZXF1ZXN0MzYwOTQ5ODQ=,al3x,27,clj-gapi,True
MDExOlB1bGxSZXF1ZXN0MzM4Nzk5ODg=,al3x,27,isomorphic500,True
MDExOlB1bGxSZXF1ZXN0MjU0NDk4ODY=,al3x,27,jenkins-menu,True
MDExOlB1bGxSZXF1ZXN0MjExODcyODg=,al3x,27,logrus,True
MDExOlB1bGxSZXF1ZXN0MjA2NTM1Mzg=,al3x,27,named-data-education--ndn-with-docker,True
MDExOlB1bGxSZXF1ZXN0MTc5ODIwMTM=,al3x,27,el-get,True
MDExOlB1bGxSZXF1ZXN0MTc5NzE1NzI=,al3x,27,el-get,True
MDExOlB1bGxSZXF1ZXN0MTY3MzE3OTk=,al3x,27,pg_search,True
MDExOlB1bGxSZXF1ZXN0MTM3NTUwMjA=,al3x,27,hubot-github-todos,True
MDExOlB1bGxSZXF1ZXN0MTQ2MDk4OA==,al3x,27,legacy-homebrew,True
MDExOlB1bGxSZXF1ZXN0MTQ1MjEwNw==,al3x,27,dropwizard,True
MDExOlB1bGxSZXF1ZXN0MTE5NTIx,al3x,27,intellij-colors-solarized,True
MDExOlB1bGxSZXF1ZXN0Njk2MzE=,al3x,27,asciidoc.tmbundle,True
MDExOlB1bGxSZXF1ZXN0NTE5OTM=,al3x,27,legacy-homebrew,True
MDExOlB1bGxSZXF1ZXN0MTAyNDg=,al3x,27,Octobot-Scala,True
MDExOlB1bGxSZXF1ZXN0MzUxMTM0MzMy,tapin13,9,LoRa_messenger,False
MDExOlB1bGxSZXF1ZXN0MzQ2NTAyNzM2,tapin13,9,angularjs-beginner,True
MDExOlB1bGxSZXF1ZXN0MzQ2NTAxNjU0,tapin13,9,angularjs-beginner,True
MDExOlB1bGxSZXF1ZXN0MzA3MDY2MTAx,tapin13,9,AirrrBOT,True
MDExOlB1bGxSZXF1ZXN0MzA3MDY1Mjgw,tapin13,9,AirrrBOT,True
MDExOlB1bGxSZXF1ZXN0MjcxMjY4ODkx,tapin13,9,moto-maintenance-backend,True
MDExOlB1bGxSZXF1ZXN0MjAzMjExNjI2,tapin13,9,openCL-helloWorld,True
MDExOlB1bGxSZXF1ZXN0MTY4ODEzODYw,tapin13,9,Arduino4Fun,True
MDExOlB1bGxSZXF1ZXN0ODY4MzM0Mg==,tapin13,9,html5Upload,True
MDExOlB1bGxSZXF1ZXN0MTg2ODE4MjI2,bryanchow,12,django-truncate,False
MDExOlB1bGxSZXF1ZXN0MTMyMTExMTM2,bryanchow,12,changesPlugin,True
MDExOlB1bGxSZXF1ZXN0ODY3ODE4Mw==,bryanchow,12,vancouver-python-day,True
MDExOlB1bGxSZXF1ZXN0ODY3NTg3OQ==,bryanchow,12,vancouver-python-day,True
MDExOlB1bGxSZXF1ZXN0ODY3NTAwNA==,bryanchow,12,vancouver-python-day,True
MDExOlB1bGxSZXF1ZXN0NzI1Mzg5NQ==,bryanchow,12,salt,True
MDExOlB1bGxSZXF1ZXN0NzI0Njg2MQ==,bryanchow,12,salt,True
MDExOlB1bGxSZXF1ZXN0NDAwMDYxNw==,bryanchow,12,ddslick,False
MDExOlB1bGxSZXF1ZXN0Njk3MDU4,bryanchow,12,lazyload,True
MDExOlB1bGxSZXF1ZXN0NDY2MzQw,bryanchow,12,webassets,True
MDExOlB1bGxSZXF1ZXN0NDY1MjUw,bryanchow,12,webassets,True
MDExOlB1bGxSZXF1ZXN0MjYzOA==,bryanchow,12,sentry,True
MDExOlB1bGxSZXF1ZXN0MTY3MDAyNDMw,crchondrite,12,kotlin-on-spring,True
MDExOlB1bGxSZXF1ZXN0MTY2OTU4NTMw,crchondrite,12,kotlin-on-spring,True
MDExOlB1bGxSZXF1ZXN0MTU4NzgwNDAw,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTU4Nzc5OTU1,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTU0NjgwMDYy,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTU0Njc4MjAz,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTU0NjU4ODU3,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTU0NjM4NDI4,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTU0MzUzNjQ0,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTU0MjgyODky,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTUzNDk0NjMw,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0MTUzNDk0MzQ2,crchondrite,12,kotlin-spark-learn,True
MDExOlB1bGxSZXF1ZXN0NDY2NTk4MjYy,robbevan,11,dressipi-com,False
MDExOlB1bGxSZXF1ZXN0MzIzMzYzMTQw,robbevan,11,chakra-ui,True
MDExOlB1bGxSZXF1ZXN0MzA3ODY0NjM2,robbevan,11,hello-github-actions,True
MDExOlB1bGxSZXF1ZXN0MjMwMDg0NTUz,robbevan,11,list_of_recommender_systems,True
MDExOlB1bGxSZXF1ZXN0MjMwMDg0MzI0,robbevan,11,list_of_recommender_systems,False
MDExOlB1bGxSZXF1ZXN0MTk2NzAxMzcx,robbevan,11,amplify-js,True
MDExOlB1bGxSZXF1ZXN0MTk2NzAwNzM4,robbevan,11,aws-amplify,False
MDExOlB1bGxSZXF1ZXN0NzMzNTY4Nzg=,robbevan,11,react-native-camera,True
MDExOlB1bGxSZXF1ZXN0NjQ5MjA2MA==,robbevan,11,teaspoon,True
MDExOlB1bGxSZXF1ZXN0NjIwMzAwNQ==,robbevan,11,homebrew-cask,True
MDExOlB1bGxSZXF1ZXN0MTM4MDA3Ng==,robbevan,11,quicksilver.vim,True
MDExOlB1bGxSZXF1ZXN0NDkxMDE4MjIw,stedolan,171,ocaml,False
MDExOlB1bGxSZXF1ZXN0NDcyNjA1MDg5,stedolan,171,ocaml,True
